word,frequency,alreadyUsedAsWordle
which,0,0
there,0,0
their,0,0
about,0,0
would,0,0
these,0,0
other,0,0
words,0,0
could,0,0
write,0,0
first,0,0
water,0,0
after,0,0
where,0,0
right,0,0
think,0,0
three,0,0
years,0,0
place,0,0
sound,0,0
great,0,0
again,0,0
still,0,0
every,0,0
small,0,0
found,0,0
those,0,0
never,0,0
under,0,0
might,0,0
while,0,0
house,0,0
world,0,0
below,0,0
asked,0,0
going,0,0
large,0,0
until,0,0
along,0,0
shall,0,0
being,0,0
often,0,0
earth,0,0
began,0,0
since,0,0
study,0,0
night,0,0
light,0,0
above,0,0
paper,0,0
parts,0,0
young,0,0
story,0,0
point,0,0
times,0,0
heard,0,0
whole,0,0
white,0,0
given,0,0
means,0,0
music,0,0
miles,0,0
thing,0,0
today,0,0
later,0,0
using,0,0
money,0,0
lines,0,0
order,0,0
group,0,0
among,0,0
learn,0,0
known,0,0
space,0,0
table,0,0
early,0,0
trees,0,0
short,0,0
hands,0,0
state,0,0
black,0,0
shown,0,0
stood,0,0
front,0,0
voice,0,0
kinds,0,0
makes,0,0
comes,0,0
close,0,0
power,0,0
lived,0,0
vowel,0,0
taken,0,0
built,0,0
heart,0,0
ready,0,0
quite,0,0
class,0,0
bring,0,0
round,0,0
horse,0,0
shows,0,0
piece,0,0
green,0,0
stand,0,0
birds,0,0
start,0,0
river,0,0
tried,0,0
least,0,0
field,0,0
whose,0,0
girls,0,0
leave,0,0
added,0,0
color,0,0
third,0,0
hours,0,0
moved,0,0
plant,0,0
doing,0,0
names,0,0
forms,0,0
heavy,0,0
ideas,0,0
cried,0,0
check,0,0
floor,0,0
begin,0,0
woman,0,0
alone,0,0
plane,0,0
spell,0,0
watch,0,0
carry,0,0
wrote,0,0
clear,0,0
named,0,0
books,0,0
child,0,0
glass,0,0
human,0,0
takes,0,0
party,0,0
build,0,0
seems,0,0
blood,0,0
sides,0,0
seven,0,0
mouth,0,0
solve,0,0
north,0,0
value,0,0
death,0,0
maybe,0,0
happy,0,0
tells,0,0
gives,0,0
looks,0,0
shape,0,0
lives,0,0
steps,0,0
areas,0,0
sense,0,0
speak,0,0
force,0,0
ocean,0,0
speed,0,0
women,0,0
metal,0,0
south,0,0
grass,0,0
scale,0,0
cells,0,0
lower,0,0
sleep,0,0
wrong,0,0
pages,0,0
ships,0,0
needs,0,0
rocks,0,0
eight,0,0
major,0,0
level,0,0
total,0,0
ahead,0,0
reach,0,0
stars,0,0
store,0,0
sight,0,0
terms,0,0
catch,0,0
works,0,0
board,0,0
cover,0,0
songs,0,0
equal,0,0
stone,0,0
waves,0,0
guess,0,0
dance,0,0
spoke,0,0
break,0,0
cause,0,0
radio,0,0
weeks,0,0
lands,0,0
basic,0,0
liked,0,0
trade,0,0
fresh,0,0
final,0,0
fight,0,0
meant,0,0
drive,0,0
spent,0,0
local,0,0
waxes,0,0
knows,0,0
train,0,0
bread,0,0
homes,0,0
teeth,0,0
coast,0,0
thick,0,0
brown,0,0
clean,0,0
quiet,0,0
sugar,0,0
facts,0,0
steel,0,0
forth,0,0
rules,0,0
notes,0,0
units,0,0
peace,0,0
month,0,0
verbs,0,0
seeds,0,0
helps,0,0
sharp,0,0
visit,0,0
woods,0,0
chief,0,0
walls,0,0
cross,0,0
wings,0,0
grown,0,0
cases,0,0
foods,0,0
crops,0,0
fruit,0,0
stick,0,0
wants,0,0
stage,0,0
sheep,0,0
nouns,0,0
plain,0,0
drink,0,0
bones,0,0
apart,0,0
turns,0,0
moves,0,0
touch,0,0
angle,0,0
based,0,0
range,0,0
marks,0,0
tired,0,0
older,0,0
farms,0,0
spend,0,0
shoes,0,0
goods,0,0
chair,0,0
twice,0,0
cents,0,0
empty,0,0
alike,0,0
style,0,0
broke,0,0
pairs,0,0
count,0,0
enjoy,0,0
score,0,0
shore,0,0
roots,0,0
paint,0,0
heads,0,0
shook,0,0
serve,0,0
angry,0,0
crowd,0,0
wheel,0,0
quick,0,0
dress,0,0
share,0,0
alive,0,0
noise,0,0
solid,0,0
cloth,0,0
signs,0,0
hills,0,0
types,0,0
drawn,0,0
worth,0,0
truck,0,0
piano,0,0
upper,0,0
loved,0,0
usual,0,0
